# Unicode CLDR 48.2 emoji annotations (English and Korean).
# Source: https://github.com/unicode-org/cldr/tree/release-48-2/common
# Copyright © 1991-2025 Unicode, Inc.
# SPDX-License-Identifier: Unicode-3.0
# emoji\tEnglish short name\tEnglish keywords\tKorean short name\tKorean keywords
🚫	prohibited	entry | forbidden | no | not | prohibited | smoke	금지	금지 | 들어오지 마시오 | 안됨 | 진입 금지 표시
🚳	no bicycles	bicycle | bicycles | bike | forbidden | no | not | prohibited	자전거 금지	금지 | 바이크 | 안됨 | 자전거 | 자전거 주행 금지
🚭	no smoking	forbidden | no | not | prohibited | smoke | smoking	금연 신호	금연 | 금연 구역 | 금연 구역 신호 | 금연 신호 | 금지 | 담배 | 안됨 | 흡연
🚯	no littering	forbidden | litter | littering | no | not | prohibited	쓰레기 투기 금지	금지 | 쓰레기 | 쓰레기 투기 | 쓰레기 투기 금지
🚱	non-potable water	dry | non-drinking | non-potable | prohibited | water	마실 수 없는 물	금지 | 마른 | 마시지 마시오 | 마실 수 없는 | 마실 수 없는 물 | 물 | 섭취 금지 | 음료
🚷	no pedestrians	forbidden | no | not | pedestrian | pedestrians | prohibited	보행자 금지	금지 | 보행자 금지 | 보행자 통행 금지 | 안됨
📵	no mobile phones	cell | forbidden | mobile | no | not | phone | phones | prohibited | telephone	휴대전화 사용금지	금지 | 모바일폰 | 셀폰 | 안됨 | 전화 | 전화 사용금지 | 폰 | 휴대전화 끄기 | 휴대전화 사용금지
🔞	no one under eighteen	18 | age | eighteen | forbidden | no | not | one | prohibited | restriction | underage	성인용	18금 | 18세 | 18세 이하 금지 | 금지 | 나이제한 | 미성년자 | 성인용 | 안됨
☢	radioactive	radioactive | sign	방사능	방사능 | 방사선 | 위험 | 주의 | 표시
☣	biohazard	biohazard | sign	생물학적 위험	바이오하자드 | 바이오해저드 | 생물학적 위험 | 표시
⬆	up arrow	arrow | cardinal | direction | north | up	위쪽 화살표	길찾기 | 북쪽 | 상향 화살표 | 위쪽 | 화살표
↗	up-right arrow	arrow | direction | intercardinal | northeast | up-right	오른쪽 위 화살표	길찾기 | 북동쪽 | 우상향 화살표 | 화살표
➡	right arrow	arrow | cardinal | direction | east | right	우향 화살표	길찾기 | 동쪽 | 오른쪽 화살표 | 우향 화살표 | 화살표
↘	down-right arrow	arrow | direction | down-right | intercardinal | southeast	오른쪽 아래 화살표	남동쪽 | 우하향 화살표 | 화살표
⬇	down arrow	arrow | cardinal | direction | down | south	아래쪽 화살표	길찾기 | 남쪽 | 하향 화살표 | 화살표
↙	down-left arrow	arrow | direction | down-left | intercardinal | southwest	왼쪽 아래 화살표	길찾기 | 남서쪽 | 좌하향 화살표 | 화살표
⬅	left arrow	arrow | cardinal | direction | left | west	좌향 화살표	길찾기 | 서쪽 | 왼쪽 화살표 | 좌향 화살표 | 화살표
↖	up-left arrow	arrow | direction | intercardinal | northwest | up-left	왼쪽 위 화살표	길찾기 | 북서쪽 | 좌상향 화살표 | 화살표
↕	up-down arrow	arrow | up-down	위아래 방향 화살표	상하향 화살표 | 위아래 | 화살표
↔	left-right arrow	arrow | left-right	좌우 방향 화살표	좌우 | 좌우향 화살표 | 화살표
↩	right arrow curving left	arrow | curving | left | right	오른쪽에서 왼쪽으로 꺾는 화살표	왼쪽으로 곡선으로 꺾어지는 화살표 | 왼쪽으로 꺾어지는 우향 화살표 | 좌회전 | 화살표
↪	left arrow curving right	arrow | curving | left | right	왼쪽에서 오른쪽으로 꺾는 화살표	오른쪽으로 곡선으로 꺾어지는 화살표 | 오른쪽으로 꺾어지는 좌향 화살표 | 우회전 | 화살표
⤴	right arrow curving up	arrow | curving | right | up	오른쪽에서 위로 꺾는 화살표	위쪽으로 꺾어지는 우향 화살표 | 좌회전 | 화살표
⤵	right arrow curving down	arrow | curving | down | right	아래쪽으로 꺾어지는 우향 화살표	아래 | 아래쪽으로 꺾어지는 우향 화살표 | 우회전 | 화살표
🔃	clockwise vertical arrows	arrow | arrows | clockwise | refresh | reload | vertical	시계 방향 화살표	새로고침 | 새로고침 표시 | 시계 방향 | 시계 방향 화살표 | 화살표
🔄	counterclockwise arrows button	again | anticlockwise | arrow | arrows | button | counterclockwise | deja | refresh | rewindershins | vu	반시계 방향 화살표	데자부 | 되감기 | 반대방향 | 반시계 방향 | 반시계 방향 화살표 | 반시계 방향 화살표 버튼 | 화살표
🔙	BACK arrow	BACK | arrow	뒤로	뒤로 | 왼쪽 화살표 | 화살표
🔚	END arrow	END | arrow	종료	끝내기 화살표 | 종료 | 화살표
🔛	ON! arrow	ON! | arrow | mark	켜짐	양쪽 방향 화살표 | 켜짐 | 켜짐! | 표시 | 화살표
🔜	SOON arrow	SOON | arrow | brb | omw	곧	brb | omw | 가는 중 | 곧 | 곧 진행된다는 신호 | 곧 진행된다는 표시 | 곧 진행된다는 화살표 | 금방 돌아옴 | 화살표
🔝	TOP arrow	TOP | arrow | homie | up	맨 위 화살표	상단 | 위로 화살표 | 위쪽 화살표 | 위쪽으로 | 화살표
🛐	place of worship	place | pray | religion | worship	예배공간	기도 | 기도실 | 사원 | 예배 | 예배공간 | 종교
⚛	atom symbol	atheist | atom | symbol	원자 기호	무신론자 | 원자 | 원자 기호
🕉	om	Hindu | om | religion	옴	옴 | 종교 | 힌두교
✡	star of David	David | Jew | Jewish | judaism | religion | star	다윗의 별	다비드 | 다비드별 | 다윗 | 다윗의 별 | 별 | 유대교 | 유대인 | 종교
☸	wheel of dharma	Buddhist | dharma | religion | wheel	진리의 수레바퀴	다르마 | 바퀴 | 불교 | 불교신자 | 수레바퀴 | 종교 | 진리 | 진리의 수레바퀴
☯	yin yang	difficult | lives | religion | tao | taoist | total | yang | yin | yinyang	음양	도교 | 둘다 | 모두 아닌 | 삶 | 양 | 어려운 | 음 | 음양 | 종교
✝	latin cross	Christian | christ | cross | latin | religion	라틴 십자가	기독교 | 라틴 십자가 | 십자가 | 종교 | 크리스찬
☦	orthodox cross	Christian | cross | orthodox | religion	전통적인 십자가	기독교 | 십자가 | 전통적인 십자가 | 정교회 십자가 | 종교 | 크리스천
☪	star and crescent	Muslim | crescent | islam | ramadan | religion | star	초승달과 별	라마단 | 무슬림 | 별 | 이슬람 | 종교 | 초승달 | 초승달과 별
☮	peace symbol	healing | peace | peaceful | symbol	평화 기호	평화 | 평화 기호 | 평화 상징 | 평화로운 | 힐링
🕎	menorah	candelabrum | candlestick | hanukkah | jewish | judaism | menorah | religion	메노라	메노라 | 유대교 | 유대인 | 종교 | 촛대
🔯	dotted six-pointed star	dotted | fortune | jewish | judaism | six-pointed | star	육각 별	별 | 운 | 유대교 | 유대인 | 육각 별 | 육각형 별 | 점이 있는 육각 별
🪯	khanda	Deg | Fateh | Khalsa | Khanda | Sikh | Sikhism | Tegh | religion	칸다	덕 | 승리 | 시크교 | 시크교 신자 | 종교 | 칸다 | 칼사 | 테그
♈	Aries	Aries | horoscope | ram | zodiac	양자리	별 | 별자리 | 별점 | 숫양 | 양 | 양자리
♉	Taurus	Taurus | bull | horoscope | ox | zodiac	황소자리	별 | 별자리 | 별점 | 황소 | 황소자리
♊	Gemini	Gemini | horoscope | twins | zodiac	쌍둥이 자리	별 | 별자리 | 별점 | 쌍둥이 | 쌍둥이 자리
♋	Cancer	Cancer | crab | horoscope | zodiac	게자리	게자리 | 별자리 | 별점
♌	Leo	Leo | horoscope | lion | zodiac	사자자리	별 | 별자리 | 별점 | 사자 | 사자자리
♍	Virgo	Virgo | horoscope | zodiac	처녀자리	별 | 별자리 | 별점 | 처녀 | 처녀자리
♎	Libra	Libra | balance | horoscope | justice | scales | zodiac	천칭자리	별 | 별자리 | 별점 | 저울 | 정의 | 천칭 | 천칭자리
♏	Scorpio	Scorpio | Scorpius | horoscope | scorpion | zodiac	전갈자리	별 | 별자리 | 별점 | 스콜피온 | 전갈 | 전갈자리
♐	Sagittarius	Sagittarius | archer | horoscope | zodiac	사수자리	궁수 | 별 | 별자리 | 사수 | 사수자리 | 활
♑	Capricorn	Capricorn | goat | horoscope | zodiac	염소자리	별 | 별자리 | 염소 | 염소자리
♒	Aquarius	Aquarius | bearer | horoscope | water | zodiac	물병자리	물 | 물병 | 물병자리 | 별 | 별자리
♓	Pisces	Pisces | fish | horoscope | zodiac	물고기자리	물고기 | 물고기자리 | 별 | 별자리 | 별점
⛎	Ophiuchus	Ophiuchus | bearer | serpent | snake | zodiac	뱀주인자리	메신저 | 뱀 | 뱀주인자리 | 별자리
🔀	shuffle tracks button	arrow | button | crossed | shuffle | tracks	랜덤 재생	교차 | 랜덤 재생 | 엇갈린 화살표 | 트랙 랜덤 재생 | 화살표
🔁	repeat button	arrow | button | clockwise | repeat	전곡 반복 재생	꼬리를 무는 화살표 | 반복 | 반복 버튼 | 시계방향 | 전곡 반복 재생 | 화살표
🔂	repeat single button	arrow | button | clockwise | once | repeat | single	한 곡 반복 재생	꼬리를 무는 화살표와 숫자 1 | 시계방향 | 한 곡 반복 재생 | 한 곡 반복 재생 버튼 | 한번 | 화살표
▶	play button	arrow | button | play | right | triangle	재생 버튼	삼각형 | 오른쪽 | 재생 | 재생 버튼 | 플레이 | 화살표
⏩	fast-forward button	arrow | button | double | fast | fast-forward | forward	빨리 감기 버튼	두 개 | 빨리 감기 | 앞으로 | 오른쪽 화살표 두 개 | 화살표
⏭	next track button	arrow | button | next | scene | track | triangle	다음 트랙 버튼	다음 장면 | 다음 트랙 | 다음 트랙 버튼 | 삼각형 | 화살표
⏯	play or pause button	arrow | button | pause | play | right | triangle	재생 또는 일시 정지 버튼	삼각형 | 오른쪽 | 일시 정지 | 재생 | 재생 또는 일시 정지 버튼 | 화살표
◀	reverse button	arrow | button | left | reverse | triangle	반대로 버튼	되돌리기 버튼 | 반대 | 반대로 버튼 | 복귀 | 삼각형 | 화살표
⏪	fast reverse button	arrow | button | double | fast | reverse | rewind	되감기 버튼	되감기 | 두 개 | 빨리 되감기 버튼 | 왼쪽 화살표 두 개 | 화살표
⏮	last track button	arrow | button | last | previous | scene | track | triangle	이전 트랙 버튼	바로 전 트랙 | 삼각형 | 이전 노래 | 이전 장면 | 이전 트랙 | 이전 트랙 버튼 | 직전 트랙 | 화살표
🔼	upwards button	arrow | button | red | up | upwards	올리기 버튼	삼각형 | 위쪽 삼각형 | 위쪽 삼각형 버튼
⏫	fast up button	arrow | button | double | fast | up	빨리 올리기 버튼	고속상승 버튼 | 더블 | 위로 | 위쪽 | 화살표
🔽	downwards button	arrow | button | down | downwards | red	내리기 버튼	다운 버튼 | 삼각형 | 아래쪽 삼각형 | 아래쪽 삼각형 버튼
⏬	fast down button	arrow | button | double | down | fast	빨리 내리기 버튼	급하강 버튼 | 더블 | 아래로 | 아래쪽 화살표 | 아랫쪽 | 화살표
⏸	pause button	bar | button | double | pause | vertical	일시 정지 버튼	더블 | 일시 정지 | 일시 정지 버튼 | 정지
⏹	stop button	button | square | stop	정지 버튼	사각형 | 정지 | 정지 버튼 | 중단 | 중지
⏺	record button	button | circle | record	녹음/녹화 버튼	기록 | 녹음 | 녹음 버튼 | 녹화 | 녹화 버튼 | 동그라미 | 원
⏏	eject button	button | eject	꺼냄 버튼	꺼내기 | 꺼냄 | 꺼냄 버튼 | 추출
🎦	cinema	camera | cinema | film | movie	영화	극장 | 시네마 | 영화 | 영화관
🔅	dim button	brightness | button | dim | low	밝기 낮음	낮은 밝기 | 밝기 | 밝기 낮음 | 밝기 조절 | 밝기 조절 버튼 | 어두움 | 어두움 표시
🔆	bright button	bright | brightness | button | light	밝기 높음	높은 밝기 | 밝기 높음 | 밝기 버튼 | 밝은 | 밝음 | 밝음 표시 | 빛
📶	antenna bars	antenna | bar | bars | cell | communication | mobile | phone | signal | telephone	안테나 신호	막대 | 셀폰 | 신호 강도 | 안테나 | 안테나 신호 | 전화 | 커뮤니케이션 | 휴대전화 | 휴대폰
🛜	wireless	broadband | computer | connectivity | hotspot | internet | network | router | smartphone | wi-fi | wifi | wireless | wlan	무선	WLAN | Wi-Fi | 광대역 | 네트워크 | 라우터 | 무선 | 스마트폰 | 연결 | 인터넷 | 컴퓨터 | 핫스팟
📳	vibration mode	cell | communication | mobile | mode | phone | telephone | vibration	진동 모드	모드 | 모바일 | 셀폰 | 전화기 | 진동 | 커뮤니케이션 | 휴대전화 진동모드
📴	mobile phone off	cell | mobile | off | phone | telephone	휴대전화 끄기	꺼짐 | 모바일폰 | 셀폰 | 전원이 꺼진 휴대전화 | 전화기 | 휴대전화 끄기 | 휴대전화 전원 끄기
♀	female sign	female | sign | woman	여성 기호	기호 | 여성
♂	male sign	male | man | sign	남성 기호	기호 | 남성
⚧	transgender symbol	symbol | transgender	트랜스젠더 기호	트랜스젠더 | 트랜스젠더 기호
✖	multiply	cancel | multiplication | multiply | sign | x | ×	곱하기	x | 곱셈 | 곱셈기호 | 곱하기 | 엑스 | 취소
➕	plus	+ | plus	더하기	더하기 | 더하기 표시 | 두꺼운 더하기 표시 | 수학 | 플러스
➖	minus	- | heavy | math | minus | sign | −	빼기	마이너스 | 빼기 | 빼기 표시 | 수학 | 진한 빼기 표시
➗	divide	divide | division | heavy | math | sign | ÷	나누기	나누기 | 나누기 표시 | 수학 | 진한 나누기 표시
🟰	heavy equals sign	answer | equal | equality | equals | heavy | math | sign	등호 기호	같음 | 답 | 동등 | 등호 기호 | 정답 | 평등
♾	infinity	forever | infinity | unbounded | universal	무한	뫼비우스 | 무한 | 영원
‼	double exclamation mark	! | !! | bangbang | double | exclamation | mark | punctuation	두 개의 느낌표	느낌표 | 두 개의 느낌표 | 문장 부호 | 뱅뱅 | 부호
⁉	exclamation question mark	! | !? | ? | exclamation | interrobang | mark | punctuation | question	느낌표와 물음표	느낌표 | 느낌표와 물음표 | 문장 부호 | 물음표 | 부호 | 인테러뱅 | 질문
❓	red question mark	? | mark | punctuation | question | red	빨간색 물음표	? | 문장 부호 | 물음 | 물음표 | 빨간색 물음표 | 의문 | 질문
❔	white question mark	? | mark | outlined | punctuation | question | white	하얀색 물음표	문장 부호 | 물음 | 물음표 | 의문 | 질문 | 하얀색 물음표
❕	white exclamation mark	! | exclamation | mark | outlined | punctuation | white	하얀색 느낌표	! | 느낌 | 느낌표 | 문장 부호 | 부호 | 하얀색 느낌표 | 하얀색 물음표 부호
❗	red exclamation mark	! | exclamation | mark | punctuation | red	빨간색 느낌표	느낌표 | 문장 부포 | 부호 | 빨간색 느낌표
〰	wavy dash	dash | punctuation | wavy	물결 모양 대시	대시 | 문장 부호 | 물결 | 물결 모양 대시 | 물결모양 | 물결표
💱	currency exchange	bank | currency | exchange | money	환전	교환 | 돈 | 은행 | 화폐 | 환전
💲	heavy dollar sign	billion | cash | charge | currency | dollar | heavy | million | money | pay | sign	미국 달러	달러화 | 돈 | 미국 달러 | 미국 돈 | 미국 화폐 | 백만장자 | 불 | 지불 | 진한 달러 표시 | 화폐
⚕	medical symbol	aesculapius | medical | medicine | staff | symbol	의학 기호	아이스쿨라피우스 | 의술의 신 | 의학 | 의학 기호 | 직원
♻	recycling symbol	recycle | recycling | symbol	재활용 표시	재활용 | 재활용 표시
⚜	fleur-de-lis	fleur-de-lis | knights	백합 문장	기사 | 문장 | 백합
🔱	trident emblem	anchor | emblem | poseidon | ship | tool | trident	삼지창	닻 | 도구 | 배 | 삼지창 | 상징 | 엠블럼 | 창 | 포세이돈
📛	name badge	badge | name	이름표	명찰 | 배지 | 이름 | 이름표
🔰	Japanese symbol for beginner	Japanese | beginner | chevron | green | leaf | symbol | tool | yellow	일본 초보운전 표시	V 모양 | 그린 | 노란색 | 노란색 초록색 이파리 모양 | 일본 | 일본 초보운전자 심볼 | 잎 | 초록색 | 초보 | 초보자
⭕	hollow red circle	circle | heavy | hollow | large | o | red	빨간색 정답 동그라미	ㅇ | 동그라미 | 원 | 크고 진한 동그라미
✅	check mark button	button | check | checked | checkmark | complete | completed | done | fixed | mark | tick | ✓	체크 표시 버튼	완료됨 | 체크 | 체크 표시 | 틱 | 확인함
